filename,status,processed_at,processing_time_seconds,nome_produto,nome_produto_confidence,nome_produto_status,nome_produto_validation_message,fabricante,fabricante_confidence,fabricante_status,fabricante_validation_message,grupo_embalagem,grupo_embalagem_confidence,grupo_embalagem_status,grupo_embalagem_validation_message,numero_onu,numero_onu_confidence,numero_onu_status,numero_onu_validation_message,numero_cas,numero_cas_confidence,numero_cas_status,numero_cas_validation_message,classificacao_onu,classificacao_onu_confidence,classificacao_onu_status,classificacao_onu_validation_message
FDS-OEM-ADVANCED-05-PRONTO-PARA-USO.pdf,success,2025-10-30 14:09:43.265318,0.8442333999992115,,,,,,,,,,,,,2024,0.85,warning,,107-21-1,0.8,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).
841578_SDS_BR_Z9.PDF,success,2025-10-30 14:09:42.409490,1.0991401000064798,,,,,,,,,,,,,2024,0.85,warning,,89-60-1,0.8,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).
7HF_FDS_Portugues.pdf,success,2025-10-30 14:09:41.304534,1.3029723999934504,,,,,,,,,,,,,2024,0.85,warning,,64742-47-8,0.8,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).
